,Unnamed: 0,Word,Rating,Category,Count,Total,Corpus,RelativeFrequency,Probabilities,ExpectedRate
208,208,40th/a,4,0.25,106,7789649,OpenTable,1.36e-05,0.185981685,3.715319931
209,209,40th/a,5,0.5,284,8266564,OpenTable,3.44e-05,0.469543151,3.715319931
210,210,43rd/a,1,-0.5,0,699695,OpenTable,0.0,0.0,4.537581676
211,211,43rd/a,2,-0.25,0,2507147,OpenTable,0.0,0.0,4.537581676
212,212,43rd/a,3,0.0,1,4207700,OpenTable,2.38e-07,0.150119682,4.537581676
213,213,43rd/a,4,0.25,2,7789649,OpenTable,2.57e-07,0.16217896,4.537581676
214,214,43rd/a,5,0.5,9,8266564,OpenTable,1.09e-06,0.687701358,4.537581676
215,215,44th/a,1,-0.5,1,699695,OpenTable,1.43e-06,0.275012591,3.217122473
216,216,44th/a,2,-0.25,2,2507147,OpenTable,7.98e-07,0.153501119,3.217122473
217,217,44th/a,3,0.0,0,4207700,OpenTable,0.0,0.0,3.217122473
218,218,44th/a,4,0.25,9,7789649,OpenTable,1.16e-06,0.222323806,3.217122473
219,219,44th/a,5,0.5,15,8266564,OpenTable,1.81e-06,0.349162484,3.217122473
220,220,45th/a,1,-0.5,3,699695,OpenTable,4.29e-06,0.373510942,2.852001123
221,221,45th/a,2,-0.25,3,2507147,OpenTable,1.2e-06,0.104239496,2.852001123
222,222,45th/a,3,0.0,5,4207700,OpenTable,1.19e-06,0.10351805,2.852001123
223,223,45th/a,4,0.25,12,7789649,OpenTable,1.54e-06,0.134200521,2.852001123
224,224,45th/a,5,0.5,27,8266564,OpenTable,3.27e-06,0.284530991,2.852001123
225,225,46th/a,1,-0.5,0,699695,OpenTable,0.0,0.0,4.552721749
226,226,46th/a,2,-0.25,0,2507147,OpenTable,0.0,0.0,4.552721749
227,227,46th/a,3,0.0,1,4207700,OpenTable,2.38e-07,0.077368269,4.552721749
228,228,46th/a,4,0.25,7,7789649,OpenTable,8.99e-07,0.292541713,4.552721749
229,229,46th/a,5,0.5,16,8266564,OpenTable,1.94e-06,0.630090018,4.552721749
230,230,47th/a,1,-0.5,1,699695,OpenTable,1.43e-06,0.325047242,3.065476241
231,231,47th/a,2,-0.25,1,2507147,OpenTable,3.99e-07,0.090714238,3.065476241
232,232,47th/a,3,0.0,2,4207700,OpenTable,4.75e-07,0.108103681,3.065476241
233,233,47th/a,4,0.25,5,7789649,OpenTable,6.42e-07,0.14598471,3.065476241
234,234,47th/a,5,0.5,12,8266564,OpenTable,1.45e-06,0.330150128,3.065476241
235,235,48th/a,1,-0.5,0,699695,OpenTable,0.0,0.0,4.136656085
236,236,48th/a,2,-0.25,1,2507147,OpenTable,3.99e-07,0.187305546,4.136656085
237,237,48th/a,3,0.0,0,4207700,OpenTable,0.0,0.0,4.136656085
238,238,48th/a,4,0.25,5,7789649,OpenTable,6.42e-07,0.301427277,4.136656085
239,239,48th/a,5,0.5,9,8266564,OpenTable,1.09e-06,0.511267177,4.136656085
240,240,49th/a,1,-0.5,0,699695,OpenTable,0.0,0.0,4.057683714
