,word,score
1142,disconcertingly,-1
1143,disconsolate,-1
1144,disconsolately,-1
1145,disconsolation,-1
1146,discontent,-1
1147,discontented,-1
1148,discontentedly,-1
1149,discontinued,-1
1150,discontinuity,-1
1151,discontinuous,-1
1152,discord,-1
1153,discordance,-1
1154,discordant,-1
1155,discountenance,-1
1156,discourage,-1
1157,discouragement,-1
1158,discouraging,-1
1159,discouragingly,-1
1160,discourteous,-1
1161,discourteously,-1
1162,discoutinous,-1
1163,discredit,-1
1164,discrepant,-1
1165,discriminate,-1
1166,discrimination,-1
1167,discriminatory,-1
1168,disdain,-1
1169,disdained,-1
1170,disdainful,-1
1171,disdainfully,-1
1172,disfavor,-1
1173,disgrace,-1
1174,disgraced,-1
1175,disgraceful,-1
1176,disgracefully,-1
1177,disgruntle,-1
1178,disgruntled,-1
1179,disgust,-1
1180,disgusted,-1
1181,disgustedly,-1
1182,disgustful,-1
1183,disgustfully,-1
1184,disgusting,-1
1185,disgustingly,-1
1186,dishearten,-1
1187,disheartening,-1
1188,dishearteningly,-1
1189,dishonest,-1
1190,dishonestly,-1
1191,dishonesty,-1
1192,dishonor,-1
1193,dishonorable,-1
1194,dishonorablely,-1
1195,disillusion,-1
1196,disillusioned,-1
1197,disillusionment,-1
1198,disillusions,-1
1199,disinclination,-1
1200,disinclined,-1
1201,disingenuous,-1
1202,disingenuously,-1
1203,disintegrate,-1
1204,disintegrated,-1
1205,disintegrates,-1
1206,disintegration,-1
1207,disinterest,-1
1208,disinterested,-1
1209,dislike,-1
1210,disliked,-1
1211,dislikes,-1
1212,disliking,-1
1213,dislocated,-1
1214,disloyal,-1
1215,disloyalty,-1
1216,dismal,-1
1217,dismally,-1
1218,dismalness,-1
1219,dismay,-1
1220,dismayed,-1
1221,dismaying,-1
1222,dismayingly,-1
1223,dismissive,-1
1224,dismissively,-1
1225,disobedience,-1
1226,disobedient,-1
1227,disobey,-1
1228,disoobedient,-1
1229,disorder,-1
1230,disordered,-1
1231,disorderly,-1
1232,disorganized,-1
1233,disorient,-1
1234,disoriented,-1
1235,disown,-1
1236,disparage,-1
1237,disparaging,-1
1238,disparagingly,-1
1239,dispensable,-1
1240,dispirit,-1
1241,dispirited,-1
1242,dispiritedly,-1
1243,dispiriting,-1
1244,displace,-1
1245,displaced,-1
1246,displease,-1
1247,displeased,-1
1248,displeasing,-1
1249,displeasure,-1
1250,disproportionate,-1
1251,disprove,-1
1252,disputable,-1
1253,dispute,-1
1254,disputed,-1
1255,disquiet,-1
1256,disquieting,-1
1257,disquietingly,-1
1258,disquietude,-1
1259,disregard,-1
1260,disregardful,-1
1261,disreputable,-1
1262,disrepute,-1
1263,disrespect,-1
1264,disrespectable,-1
1265,disrespectablity,-1
1266,disrespectful,-1
1267,disrespectfully,-1
1268,disrespectfulness,-1
1269,disrespecting,-1
1270,disrupt,-1
1271,disruption,-1
1272,disruptive,-1
1273,diss,-1
1274,dissapointed,-1
1275,dissappointed,-1
1276,dissappointing,-1
1277,dissatisfaction,-1
1278,dissatisfactory,-1
1279,dissatisfied,-1
1280,dissatisfies,-1
1281,dissatisfy,-1
1282,dissatisfying,-1
1283,dissed,-1
1284,dissemble,-1
1285,dissembler,-1
1286,dissension,-1
1287,dissent,-1
1288,dissenter,-1
1289,dissention,-1
1290,disservice,-1
1291,disses,-1
1292,dissidence,-1
1293,dissident,-1
1294,dissidents,-1
1295,dissing,-1
1296,dissocial,-1
1297,dissolute,-1
1298,dissolution,-1
1299,dissonance,-1
1300,dissonant,-1
1301,dissonantly,-1
1302,dissuade,-1
1303,dissuasive,-1
1304,distains,-1
1305,distaste,-1
1306,distasteful,-1
1307,distastefully,-1
1308,distort,-1
1309,distorted,-1
1310,distortion,-1
1311,distorts,-1
1312,distract,-1
1313,distracting,-1
1314,distraction,-1
1315,distraught,-1
1316,distraughtly,-1
1317,distraughtness,-1
1318,distress,-1
1319,distressed,-1
1320,distressing,-1
1321,distressingly,-1
1322,distrust,-1
1323,distrustful,-1
1324,distrusting,-1
1325,disturb,-1
1326,disturbance,-1
1327,disturbed,-1
1328,disturbing,-1
1329,disturbingly,-1
1330,disunity,-1
1331,disvalue,-1
1332,divergent,-1
1333,divisive,-1
1334,divisively,-1
1335,divisiveness,-1
1336,dizzing,-1
1337,dizzingly,-1
1338,dizzy,-1
1339,doddering,-1
1340,dodgey,-1
1341,dogged,-1
1342,doggedly,-1
1343,dogmatic,-1
1344,doldrums,-1
1345,domineer,-1
1346,domineering,-1
1347,donside,-1
1348,doom,-1
1349,doomed,-1
1350,doomsday,-1
1351,dope,-1
1352,doubt,-1
1353,doubtful,-1
1354,doubtfully,-1
1355,doubts,-1
1356,douchbag,-1
1357,douchebag,-1
1358,douchebags,-1
1359,downbeat,-1
1360,downcast,-1
1361,downer,-1
1362,downfall,-1
1363,downfallen,-1
1364,downgrade,-1
1365,downhearted,-1
1366,downheartedly,-1
1367,downhill,-1
1368,downside,-1
1369,downsides,-1
1370,downturn,-1
1371,downturns,-1
1372,drab,-1
1373,draconian,-1
1374,draconic,-1
1375,drag,-1
1376,dragged,-1
1377,dragging,-1
1378,dragoon,-1
1379,drags,-1
1380,drain,-1
1381,drained,-1
1382,draining,-1
1383,drains,-1
1384,drastic,-1
1385,drastically,-1
1386,drawback,-1
1387,drawbacks,-1
1388,dread,-1
1389,dreadful,-1
1390,dreadfully,-1
1391,dreadfulness,-1
1392,dreary,-1
1393,dripped,-1
1394,dripping,-1
1395,drippy,-1
1396,drips,-1
1397,drones,-1
1398,droop,-1
1399,droops,-1
1400,drop-out,-1
1401,drop-outs,-1
1402,dropout,-1
1403,dropouts,-1
1404,drought,-1
1405,drowning,-1
1406,drunk,-1
1407,drunkard,-1
1408,drunken,-1
1409,dubious,-1
1410,dubiously,-1
1411,dubitable,-1
1412,dud,-1
1413,dull,-1
1414,dullard,-1
1415,dumb,-1
1416,dumbfound,-1
1417,dump,-1
1418,dumped,-1
1419,dumping,-1
1420,dumps,-1
1421,dunce,-1
1422,dungeon,-1
1423,dungeons,-1
1424,dupe,-1
1425,dust,-1
1426,dusty,-1
1427,dwindling,-1
1428,dying,-1
1429,earsplitting,-1
1430,eccentric,-1
1431,eccentricity,-1
