Word,ExpectedRate,avg
astonished,3.595034379,3.595034379
astonishing,3.577647614,3.577647614
astonishingly,3.072757981,3.072757981
astounded,2.640317228,2.640317228
astounding,3.553287828,3.553287828
astral,4,4
astray,2.613213845,2.613213845
astrological,4.653531998,4.653531998
astronomical,3.227825753,3.227825753
astronomically,5,5
astute,3.409306959,3.409306959
astutely,3.04406884,3.04406884
asunder,4.386034674,4.386034674
at a loss,2.647026305,2.647026305
at a time,3.009365614,3.009365614
at all costs,1.929422972,1.929422972
at all,2.320021463,2.320021463
at any cost,3.195304398,3.195304398
at any rate,2.861171531,2.861171531
at arm's length,2.342317819,2.342317819
at bay,3.160123482,3.160123482
at best,1.920370746,1.920370746
at bottom,4.386034674,4.386034674
at fault,2.451973293,2.451973293
at first blush,3.312963962,3.312963962
at first glance,3.424771116,3.424771116
at first hand,4.386034674,4.386034674
at first sight,2.474785243,2.474785243
at hand,2.921545195,2.921545195
at heart,3.609471401,3.609471401
at home,3.132661508,3.132661508
at large,2.607976468,2.607976468
at last,3.060860708,3.060860708
at least,2.674498436,2.674498436
at leisure,4.041827698,4.041827698
at length,2.813240753,2.813240753
at long last,2.870908579,2.870908579
at most,2.969358555,2.969358555
at odds,2.830562319,2.830562319
at once,3.396474958,3.396474958
at one time,3.223744195,3.223744195
at peace,3.699826283,3.699826283
at present,3.090182232,3.090182232
at random,2.782158986,2.782158986
at rest,3.018072566,3.018072566
at sea,3.316025893,3.316025893
at stake,3.010597852,3.010597852
at the best,3.203980632,3.203980632
at the least,3.010933132,3.010933132
at the most,2.849648047,2.849648047
at the ready,3.911726269,3.911726269
at the same time,3.485420775,3.485420775
at the worst,2.551679187,2.551679187
at times,3.139838934,3.139838934
at variance,4.386034674,4.386034674
at will,3.44923921,3.44923921
at work,2.959514058,2.959514058
at worst,1.886522204,1.886522204
atavistic,4.034332942,4.034332942
atheist,2.102279576,2.102279576
atheistic,3.089341245,3.089341245
athenian,3,3
athletic,2.84294726,2.84294726
atlantic,1.72522749,1.72522749
atmospheric,3.059451532,3.059451532
atomic,3.107540885,3.107540885
atrocious,1.703376016,1.703376016
atrociously,1.639145053,1.639145053
attached,3.799770825,3.799770825
attainable,4.103361836,4.103361836
attempted,2.045917725,2.045917725
attendant,3.548087992,3.548087992
attention-getting,2,2
attentive,2.770232286,2.770232286
attentively,2.533532505,2.533532505
attenuated,2,2
attic,2.645264568,2.645264568
attractive,2.396952398,2.396952398
attractively,3.371104373,3.371104373
attributable,3.679274827,3.679274827
attributively,3,3
atypical,2.974938813,2.974938813
atypically,5,5
au courant,3,3
au jus,3.371104373,3.371104373
audacious,3.642519041,3.642519041
audible,3.267610649,3.267610649
audibly,2.351938472,2.351938472
audiovisual,2,2
auditory,2.81308849,2.81308849
augmentative,4,4
augmented,3.312963962,3.312963962
august,5,5
aural,5,5
auspicious,2.076911204,2.076911204
auspiciously,3.371104373,3.371104373
austere,3.36186904,3.36186904
austerely,4,4
australian,2.166496041,2.166496041
austrian,5,5
authentic,2.881240414,2.881240414
authentically,3.079511047,3.079511047
authorial,2.736240434,2.736240434
authoritarian,3.320757292,3.320757292
authoritative,2.22201555,2.22201555
authoritatively,3.851923716,3.851923716
authorized,5,5
autistic,2.456112742,2.456112742
autobiographic,3.541234481,3.541234481
autobiographical,2.979407899,2.979407899
autocratic,3.541234481,3.541234481
autographed,3.300916835,3.300916835
automatic,2.883899352,2.883899352
automatically,2.722353488,2.722353488
automotive,1,1
autonomous,2.548552883,2.548552883
autumnal,4,4
auxiliary,1.466403084,1.466403084
available,2.880221659,2.880221659
avant-garde,1.781650809,1.781650809
avaricious,5,5
average,2.653457413,2.653457413
averse,3.637144879,3.637144879
aversive,5,5
avian,2,2
avid,2.948022689,2.948022689
avidly,2.59120363,2.59120363
avocational,5,5
avoidable,3.679274827,3.679274827
avowed,5,5
avuncular,1,1
awake,3.181794337,3.181794337
award-winning,3.041094128,3.041094128
aware,3.011437691,3.011437691
awash,2.196953157,2.196953157
away,2.925397997,2.925397997
awe-inspiring,3.54126575,3.54126575
awed,3.372197739,3.372197739
awesome,3.974610213,3.974610213
awful,1.757176873,1.757176873
awfully,2.488812196,2.488812196
awhile,3.186580313,3.186580313
awkward,2.611358981,2.611358981
awkwardly,2.379196381,2.379196381
awry,2.324259369,2.653328991
axiomatic,1,1
azure,1,1
baby-faced,4,4
babyish,4,4
babylonian,5,5
back and forth,3.184448528,3.184448528
back-to-back,3.879193742,3.879193742
back,2.777941842,2.885092602
backhanded,1.697155506,1.697155506
backstage,3.336302975,3.336302975
backward and forward,3.753458102,3.753458102
backward,2.747954606,2.747954606
backwards,2.709142682,2.709142682
bad,2.357987014,2.357987014
badly,2.013398963,2.013398963
baffled,2.757085767,2.757085767
baffling,1.58434492,1.58434492
baggy,4,4
baked,2.093054999,2.093054999
balanced,3.187152757,3.187152757
bald,2.146235293,2.146235293
baldly,2.412891756,2.412891756
baleful,4,4
ballistic,2.941594482,2.941594482
balmy,4,4
banal,1.923230001,1.923230001
bang-up,1.304123645,1.304123645
bankrupt,2.393710621,2.393710621
baptismal,4,4
barbarian,4.041827698,4.041827698
barbaric,3.53105347,3.53105347
barbarous,4,4
barbed,1.876059406,1.876059406
bare-knuckled,5,5
bare,2.974876825,2.974876825
barely,2.296079292,2.296079292
baronial,5,5
baroque,3.721217053,3.721217053
barren,3.455222929,3.455222929
basal,5,5
base,2.680794089,2.680794089
baseless,2.091176058,2.091176058
basely,3,3
bashful,3,3
basic,2.655642435,2.655642435
basically,2.458877495,2.458877495
bastard,2.705479332,2.705479332
bastardized,3.371104373,3.371104373
bated,2.296074469,2.296074469
bathetic,1.72522749,1.72522749
battered,2.205654496,2.205654496
batty,2.580582766,2.580582766
bavarian,2,2
bawdy,3.032504207,3.032504207
beady,4,4
bearable,2.665516786,2.665516786
bearded,3.541234481,3.541234481
beardless,1,1
beastly,2.409843527,2.409843527
beat-up,2.53276986,2.53276986
