Word,Rating,Category,Count,Total,Corpus
abrasive/a,3,0,7,6011388,Goodreads
abrasive/a,4,0.25,4,10187257,Goodreads
abrasive/a,5,0.5,5,16202230,Goodreads
abreast/r,1,-0.5,0,3419923,Goodreads
abreast/r,2,-0.25,0,3912625,Goodreads
abreast/r,3,0,1,6011388,Goodreads
abreast/r,4,0.25,0,10187257,Goodreads
abreast/r,5,0.5,0,16202230,Goodreads
abridged/a,1,-0.5,6,3419923,Goodreads
abridged/a,2,-0.25,23,3912625,Goodreads
abridged/a,3,0,28,6011388,Goodreads
abridged/a,4,0.25,35,10187257,Goodreads
abridged/a,5,0.5,21,16202230,Goodreads
abroad/r,1,-0.5,8,3419923,Goodreads
abroad/r,2,-0.25,23,3912625,Goodreads
abroad/r,3,0,29,6011388,Goodreads
abroad/r,4,0.25,44,10187257,Goodreads
abroad/r,5,0.5,46,16202230,Goodreads
abrupt/a,1,-0.5,11,3419923,Goodreads
abrupt/a,2,-0.25,26,3912625,Goodreads
abrupt/a,3,0,89,6011388,Goodreads
abrupt/a,4,0.25,77,10187257,Goodreads
abrupt/a,5,0.5,29,16202230,Goodreads
abruptly/r,1,-0.5,23,3419923,Goodreads
abruptly/r,2,-0.25,24,3912625,Goodreads
abruptly/r,3,0,56,6011388,Goodreads
abruptly/r,4,0.25,63,10187257,Goodreads
abruptly/r,5,0.5,25,16202230,Goodreads
absent/a,1,-0.5,21,3419923,Goodreads
absent/a,2,-0.25,32,3912625,Goodreads
absent/a,3,0,50,6011388,Goodreads
absent/a,4,0.25,50,10187257,Goodreads
absent/a,5,0.5,34,16202230,Goodreads
absently/r,1,-0.5,0,3419923,Goodreads
absently/r,2,-0.25,0,3912625,Goodreads
absently/r,3,0,0,6011388,Goodreads
absently/r,4,0.25,0,10187257,Goodreads
absently/r,5,0.5,1,16202230,Goodreads
absentmindedly/r,1,-0.5,1,3419923,Goodreads
absentmindedly/r,2,-0.25,0,3912625,Goodreads
absentmindedly/r,3,0,1,6011388,Goodreads
absentmindedly/r,4,0.25,3,10187257,Goodreads
absentmindedly/r,5,0.5,1,16202230,Goodreads
absolute/a,1,-0.5,125,3419923,Goodreads
absolute/a,2,-0.25,63,3912625,Goodreads
absolute/a,3,0,85,6011388,Goodreads
absolute/a,4,0.25,182,10187257,Goodreads
absolute/a,5,0.5,807,16202230,Goodreads
absolutely/r,1,-0.5,644,3419923,Goodreads
absolutely/r,2,-0.25,385,3912625,Goodreads
absolutely/r,3,0,545,6011388,Goodreads
