Word,ExpectedRate
BHS,1
BIARIN,1
bias,-1
BIASA,1
BIASANYA,1
biased,-2
BIBLE,2
BIEBER,2
BIER,1
big,1
BIGGER,1
BIGGEST,1
BIJNA,0
BIKE,1
BIKIN,0
BIL,1
BILA,1
BILANG,0
BILL,1
BILLS,0
BILLY,1
BINGUNG,-1
BINNEN,1
BINTANG,1
BIO,1
BIOLOGY,0
BIR,2
BIRD,1
BIRDS,1
BIRMINGHAM,1
BIRTH,2
BIRTHDAY,3
BIRTHDAYYY,4
BIRU,1
BISA,0
BISAA,0
BISAAA,0
BISCUITS,1
BISMA,1
BISMILLAH,3
BIT,1
bitch,-5
bitches,-5
BITE,1
BITS,1
bitter,-2
bitterly,-2
BIZ,2
bizarre,-2
BJS,1
BKAN,1
BKIN,0
BKN,1
BLA,0
BLACK,1
BLACKBERRY,1
blah,-2
BLAJAR,1
blame,-2
blamed,-2
blames,-2
blaming,-2
BLANK,0
BLANKET,1
BLAST,2
BLASTING,2
BLEEDING,-2
BLEH,0
bless,2
BLESSED,4
blesses,2
blessing,3
BLEW,0
BLG,0
BLH,1
BLIJ,2
BLIJFT,1
BLIJVEN,1
blind,-1
bliss,3
blissful,3
blithe,2
BLJR,1
BLM,0
BLN,0
block,-1
blockbuster,3
blocked,-1
blocking,-1
blocks,-1
BLOCO,1
BLOG,2
BLOGGING,1
BLOGS,1
BLOM,0
BLONDE,1
BLOOD,0
bloody,-3
BLOW,1
BLOWING,1
BLOWN,0
BLOWS,-1
BLS,0
BLUE,1
BLUES,1
BLUM,0
BLUNT,2
blurry,-2
BLZ,1
BNER,0
BNGET,0
BNGT,0
BNGUN,0
BNR,0
BNYAK,1
BNYK,1
BOA,3
BOARD,1
BOARDING,1
boastful,-2
BOAT,1
BOB,1
BOBBY,1
BOBO,1
BODO,0
BODY,0
BOGOR,1
BOHONG,0
BOI,1
BOKAP,0
bold,2
boldly,2
BOLEH,1
bomb,-1
BONES,1
BONITA,2
BONITO,2
BONJOUR,4
BONNE,4
BONUS,2
BOO,0
BOOBS,0
BOOKED,1
BOOKING,1
BOOKS,1
BOONG,0
BOOOA,4
BOOOM,3
boost,1
boosted,1
boosting,1
boosts,1
BOOTH,2
BOOTS,1
BOOTY,1
bore,-2
bored,-2
boring,-3
BORROW,1
BOS,1
BOSAN,-1
BOSEN,0
BOSTON,1
bother,-2
bothered,-2
bothers,-2
bothersome,-2
BOTTLE,1
BOTTLES,2
BOTTOM,1
BOUGHT,1
BOUND,2
BOUTA,2
BOW,2
BOWLING,2
BOX,1
BOXES,1
BOY,1
boycott,-2
boycotted,-2
boycotting,-2
boycotts,-2
BOYS,1
BRACELET,1
BRAD,2
BRAIN,0
brainwashing,-3
BRAND,2
BRANDON,1
BRAPA,1
BRARTI,1
BRASIL,1
brave,2
BRAZIL,1
BRB,2
BREAD,1
BREAK,1
BREAKFAST,2
BREAKING,0
BREAKS,0
breakthrough,3
BREATH,1
BREATHE,0
BREATHING,0
breathtaking,5
BRENG,1
BRG,1
BRIAN,1
bribe,-3
BRIDGE,1
bright,1
brightest,2
brightness,1
brilliant,4
BRING,1
BRINGING,2
BRINGS,2
brisk,2
BRITISH,1
BRITNEY,1
BRO,2
broke,-1
broken,-1
brooding,-2
BROOKLYN,2
BROS,1
BROTHER,1
BROTHERS,1
BROUGHT,1
BROWN,1
BROWNIES,1
BRP,1
BRPA,1
BRRR,0
BRU,1
BRUH,1
BRUNA,1
BRUNCH,2
BRUNO,1
BSA,0
BSK,1
BSOK,0
BTW,2
BUAT,1
BUBBLE,1
BUBUR,0
BUCKS,1
BUD,1
BUDDIES,1
BUDDY,1
BUDGET,0
BUEN,2
BUENA,2
BUENAS,3
BUENO,1
BUENOS,2
BUFFALO,1
BUFFET,2
BUG,0
BUGS,1
BUH,0
BUILDING,1
BUITEN,1
BUKA,1
BUKANNYA,0
BUKAS,1
BUKU,1
BULAN,1
BULL,1
bullied,-2
BULLS,2
bullshit,-4
bully,-2
bullying,-2
BUM,0
BUMMED,-2
bummer,-2
BUMP,1
BUN,1
BUNCH,1
BUNDA,1
BUNG,2
BUNNY,1
BUONGIORNO,4
buoyant,2
burden,-2
burdened,-2
burdening,-2
burdens,-2
BUREAU,2
BURGER,1
BURGERS,1
BURLESQUE,2
BURN,0
BURNED,-1
BURNING,0
BURNT,-1
BURUK,0
BUS,0
BUSCAR,1
BUSINESS,1
BUST,1
BUSY,1
BUTT,1
BUTTER,1
BUTTON,1
BUTUH,0
BUU,0
BUUU,-1
BUY,1
BUYING,1
BUZZ,1
BWA,1
BWT,1
BYE,1
BYEE,2
BYEEE,2
BYK,1
CAB,1
CABELO,0
CABEZA,-1
CABLE,0
CADE,-2
CAE,1
CAFE,1
CAKE,2
CAKEP,2
CAKES,2
CALI,1
CALIFORNIA,1
CALL,1
CALLE,1
CALLED,1
CALLING,1
CALLS,1
calm,2
calmed,2
calming,2
calms,2
CALON,2
CALOR,0
CAM,1
CAMA,1
CAMBIAR,0
CAMBIO,1
CAME,1
CAMERA,0
CAMILA,0
CAMINO,1
CAMP,1
CAMPING,1
CAMPUS,1
CANADA,1
CANADIAN,1
CANAL,1
cancel,-1
CANCELED,-1
cancelled,-1
cancelling,-1
cancels,-1
cancer,-1
CANCION,1
CANCIONES,1
CANDY,1
CANELO,1
CANSADA,-1
CANSADO,0
can't stand,-3
CANTANDO,1
CANTIK,3
CAP,1
capable,1
CAPE,0
CAPEK,0
CAPITAL,1
CAPS,1
CAPTAIN,2
captivated,3
CARA,0
CARALHO,-1
CARAMEL,1
CARANYA,0
CARD,1
CARDIFF,1
CARDS,1
care,2
CAREER,1
carefree,1
careful,2
carefully,2
careless,-2
cares,2
CARI,1
CARING,2
CARLOS,1
CARNAVAL,1
CARNAVALES,0
CARNIVAL,1
CAROLINA,1
CARRO,0
CARRY,1
CARS,1
CASE,1
CASH,1
cashing in,-2
CASI,0
CASINO,1
CASITA,1
CASO,1
CAST,1
CASTLE,1
casualty,-2
CAT,0
catastrophe,-3
catastrophic,-4
CATCH,1
CATCHING,1
CATS,1
CAUGHT,1
CAUSA,0
CAUSE,1
cautious,-1
CBA,0
CEDO,0
CEDRIC,1
CEK,2
CEL,0
celebrate,3
celebrated,3
celebrates,3
celebrating,3
CELEBRATION,2
CELEBRITY,2
CELL,0
CELTICS,1
CELULAR,0
CEMBURU,0
CENA,2
CENAR,1
CENAT,0
censor,-2
censored,-2
censors,-2
CENTER,1
CENTRAL,2
CENTRE,1
CENTRO,1
CENUT,0
CEPAT,1
CEPET,1
CERAH,2
CERCA,0
CEREAL,1
CERITA,0
CERITANYA,0
certain,1
CERTAINLY,2
CERTEZA,1
CERTO,1
CEWE,1
CEWEK,1
CHA,1
chagrin,-2
chagrined,-2
CHAIR,1
challenge,-1
CHAMA,0
CHAMP,2
CHAMPAGNE,2
CHAMPION,2
CHAMPIONS,2
CHAMPIONSHIP,2
CHAMPS,3
chance,2
chances,2
CHANGE,1
CHANGED,1
CHANGES,1
CHANGING,1
CHANNEL,1
chaos,-2
chaotic,-2
CHAPTER,1
CHARACTER,1
CHARACTERS,1
CHARGE,0
charged,-3
CHARGER,-1
charges,-2
CHARITY,2
CHARLIE,1
CHARLOTTE,1
charm,3
charming,3
charmless,-3
CHASE,1
CHASING,1
chastise,-3
chastised,-3
chastises,-3
chastising,-3
CHAT,1
CHATA,-1
CHATO,-1
CHATTING,2
CHEAP,1
CHEAPER,1
cheat,-3
cheated,-3
cheater,-3
cheaters,-3
cheats,-3
CHECK,2
CHECKED,1
CHECKING,2
CHEEKY,2
cheer,2
cheered,2
cheerful,2
cheering,2
cheerless,-2
cheers,2
cheery,3
CHEESE,2
CHEESECAKE,1
CHEESY,2
CHEF,2
CHEGA,1
CHEGANDO,1
CHEGAR,1
CHEGOU,1
CHEGUEI,2
CHELSEA,1
CHEM,0
CHEMISTRY,0
cherish,2
cherished,2
cherishes,2
cherishing,2
CHERRY,1
CHEST,0
chic,2
CHICA,1
CHICAGO,1
CHICAS,1
CHICK,2
CHICKEN,1
CHICKS,1
CHICO,1
CHILDHOOD,1
childish,-2
CHILDREN,1
CHILLED,2
CHILLEN,2
CHILLIN,2
chilling,-1
CHILLY,1
CHIN,1
CHINESE,1
CHINGU,2
CHIP,1
CHIPOTLE,2
CHOCOLATE,1
