status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
22707976849_10153549473031850,"In our new YouTube video series, master PC modders face off in fast-paced competition, testing their creativity, ingenuity and ability to build  customized PCs in a matter of minutes: http://intel.ly/1U9Kr5X",Timeline Photos,photo,https://www.facebook.com/Intel/photos/a.59511371849.82597.22707976849/10153549473031850/?type=3,2016-06-06 11:00:16,144,4,15,141,2,1,0,0,0
22707976849_10153548020241850,"Disappointed that the weather prevented Skate and BMX Big Air from competing, but glad all riders are safe. We were honored to be a part of X Games Austin, bringing #Intel tech to audiences everywhere. Congrats to the winners!",Photos from Intel's post,photo,https://www.facebook.com/Intel/photos/a.59511371849.82597.22707976849/10153548017191850/?type=3,2016-06-05 16:43:14,2356,16,71,2302,18,5,1,5,25
22707976849_10153547743101850,Congrats to Kevin Peraza for a gold medal performance at #XGames Austin in the BMX Dirt Final! We were happy to bring #Intel tech to the experience for athletes and audiences alike!,,video,https://www.facebook.com/Intel/videos/10153547743101850/,2016-06-05 14:41:18,1131,54,622,1075,26,28,2,0,0
22707976849_10153547661166850,"See real-time performance data in action with Kyle Baldock's BMX Dirt Final run at X Games Austin, featuring #Intel tech! Great run today, Kyle!",,video,https://www.facebook.com/Intel/videos/10153547661166850/,2016-06-05 13:52:02,6501,190,1301,6319,56,121,5,0,0
22707976849_10153547591751850,The action isn't over yet! Here's a behind the scenes moment of Kyle Baldock being interviewed at #XGames about #Intel tech.,Timeline Photos,photo,https://www.facebook.com/Intel/photos/a.59511371849.82597.22707976849/10153547591751850/?type=3,2016-06-05 13:23:05,673,4,3,668,5,0,0,0,0
22707976849_10153547416976850,Get an aerial tour via drone of the BMX Dirt course before we kick it off at #XGames Austin with #Intel technology!,,video,https://www.facebook.com/Intel/videos/10153547416976850/,2016-06-05 11:44:41,180,9,30,175,5,0,0,0,0
22707976849_10153547191596850,"Today at the X Games, BMX star Kyle Baldock competes for a fourth consecutive BMX Dirt gold medal. Kyle has been an early tester of Intel technology; see what he has to say on the future of the sport.","Kyle Baldock, X Games Austin 2016, Intel Technology",video,https://www.facebook.com/Intel/videos/10153547191596850/,2016-06-05 09:38:32,121,4,25,121,0,0,0,0,0
22707976849_10153546359621850,Hear from the team behind the #Intel tech featured at X Games Austin. We're excited to bring real-time data to Day 4!,,video,https://www.facebook.com/Intel/videos/10153546359621850/,2016-06-04 23:26:17,227,8,37,223,3,1,0,0,0
22707976849_10153546015711850,"The #Intel booth at #XGames Austin was alive with Drones, 3D Printing, and Thud Rumble - evolving the modern DJ setup with Intel technology. Special thanks to DJ QBert, @Shortkut & D-Styles for cutting up the booth as the world's freshest all DJ band.",,video,https://www.facebook.com/Intel/videos/10153546015711850/,2016-06-04 18:53:58,289,8,87,274,11,4,0,0,0
22707976849_10153545896786850,"After some inclement weather last night, both BMX and Skate Big Air are today at #XGames Austin featuring #Intel tech!",Photos from Intel's post,photo,https://www.facebook.com/Intel/photos/a.59511371849.82597.22707976849/10153545895141850/?type=3,2016-06-04 17:15:17,2556,14,52,2537,15,4,0,0,0
